file,event,label,e_mev,length,linearity,purity,foreign,hint,dom_t0,top_foreign
flow0000001,2,1108,403.6202980950475,51.56680230404638,0.7238113272596014,0.8420023596225324,63.771054707467556,mixed/absorbed,29.81217214383968,g13:64MeV(t0 193)
flow0000001,2,1161,608.5933685004711,73.46699305083482,0.9397865587656722,0.8919059913933278,65.78529681265354,mixed/absorbed,281.45476362712895,g16:66MeV(t0 215)
flow0000001,2,1175,1418.2340205460787,71.36374395064442,0.5194438988458736,0.9020536313831324,138.9108721613884,mixed/absorbed,214.8787773283553,g19:123MeV(t0 267)
flow0000001,2,1278,83.19710314273834,22.8728888909174,0.6256988934606729,0.6343375422674871,30.42205721139908,mixed/absorbed,214.95825477495586,g20:30MeV(t0 297)
flow0000001,3,30,167.13780514150858,88.34784323429324,0.9810081682511235,0.8487689496124508,25.27642583101988,mixed/absorbed,317.7287187114515,g35:25MeV(t0 432)
flow0000001,3,35,81.9358534887433,30.804341525181393,0.9697174302806444,0.750435308265214,20.448296017944813,mixed/absorbed,317.6727523803711,g41:20MeV(t0 498)
flow0000001,3,87,678.3694127574563,485.73427264538645,0.9977820971935887,0.9485204150965681,34.9221757799387,mixed/absorbed,61.32347027949182,g22:27MeV(t0 266)
flow0000001,3,99,78.96114382892847,24.778816682736995,0.9105111166154436,0.6957398450634296,24.0247298553586,mixed/absorbed,227.85689562017268,g4:24MeV(t0 43)
flow0000001,3,212,350.1578656733036,57.08366242757451,0.8142356984208148,0.9327498794149501,23.548158690333366,mixed/absorbed,317.4633960440407,g38:13MeV(t0 479)
flow0000001,3,252,2862.6485650613904,102.55228807797586,0.7807215946631342,0.9676482628702108,92.61165387183428,mixed/absorbed,317.5245662307897,g2:67MeV(t0 13)
flow0000001,3,322,250.3498753681779,59.04318518629553,0.7834667268951009,0.9131947684965214,21.731678888201714,mixed/absorbed,13.380483624353008,g10:20MeV(t0 114)
flow0000001,3,424,229.36720574647188,37.02915377261608,0.8744286959566321,0.7765322909821596,51.256163991987705,mixed/absorbed,13.268085298330888,g25:51MeV(t0 319)
flow0000001,3,442,171.57423101365566,36.84491519990264,0.6780906517522213,0.46139610861225117,92.41054848581553,mixed/absorbed,218.5878899847711,g2:73MeV(t0 13)
flow0000001,3,472,66.37762697041035,18.929664974357888,0.7586554498288415,0.6776597017932503,21.39618407189846,mixed/absorbed,176.44418111340752,g36:21MeV(t0 444)
flow0000001,3,473,50.98818239569664,16.189331663260226,0.7026463922928836,0.5545125238536744,22.714596688747406,mixed/absorbed,254.67294047791282,g57:23MeV(t0 764)
flow0000001,3,509,87.82189711928368,22.201120257064552,0.7382636002264652,0.514910815329319,42.601452469825745,mixed/absorbed,176.53863833366185,g24:43MeV(t0 310)
flow0000001,3,770,291.5561652109027,48.95480263515756,0.6958065041733789,0.6768025410589122,94.23021173477173,mixed/absorbed,589.2016866207123,g14:76MeV(t0 176)
flow0000001,3,847,101.11652986705303,17.16906578052957,0.5705326235414562,0.7715403750375291,23.10104449093342,mixed/absorbed,616.4933091107537,g55:23MeV(t0 719)
flow0000001,4,49,75.24570413678885,27.42534885012308,0.9047383941130581,0.7116940721799995,21.693782545626163,mixed/absorbed,268.58665438051577,g33:22MeV(t0 364)
flow0000001,4,105,47.7733573615551,16.43753191527473,0.9258899647085395,0.5401059880385328,21.970680981874466,mixed/absorbed,426.2931620279948,g63:22MeV(t0 661)
flow0000001,4,114,83.553934417665,14.916511686819971,0.4992121960316098,0.7356624741089145,22.086440302431583,mixed/absorbed,34.54154905104479,g6:22MeV(t0 51)
flow0000001,4,803,268.8270820900798,116.25402312802834,0.9644549512686461,0.58699681393882,111.02644140273333,mixed/absorbed,154.52234022168145,g8:111MeV(t0 61)
flow0000001,4,902,64.83597519248724,16.17459982269746,0.9042829891311429,0.5818761827501728,27.109465442597866,mixed/absorbed,110.97723574971043,g15:27MeV(t0 119)
flow0000001,5,4,814.7851791754365,364.10691998997964,0.9071587141235461,0.6043124644674583,322.40033953636885,bad-stitch?(tpc50),206.25764202592427,g35:322MeV(t0 384)
flow0000001,5,18,394.5321709960699,277.081217359742,0.9997014541397478,0.9374906163363873,24.6619628444314,mixed/absorbed,156.40611816713732,g58:25MeV(t0 619)
flow0000001,5,573,159.32095269858837,32.56924169346593,0.8764175282605582,0.6990285623442085,47.95105618238449,mixed/absorbed,197.94984575327007,g45:33MeV(t0 489)
flow0000001,5,727,207.47439073771238,49.30636448062955,0.8118266968345947,0.7236478665775927,57.33599051088095,mixed/absorbed,592.4288088837659,g35:57MeV(t0 384)
flow0000001,5,760,411.95607498288155,48.82330866841815,0.6032362414417983,0.9426476273499321,23.62665832787752,mixed/absorbed,421.2813679748799,g46:24MeV(t0 494)
flow0000001,6,17,69.6838489472866,21.68867917636819,0.8894259657512571,0.6597293579135385,23.711368024349213,mixed/absorbed,41.8604850769043,g25:24MeV(t0 308)
